Sample,Time_us,Raw_u16,Voltage_V
383,383008,13763,0.693033
384,384012,13955,0.702701
385,385009,14195,0.714786
386,386008,14467,0.728482
387,387012,14595,0.734928
388,388008,14547,0.732511
389,389012,14371,0.723648
390,390008,14083,0.709146
391,391012,13859,0.697867
392,392009,13715,0.690616
393,393013,13763,0.693033
394,394010,13955,0.702701
395,395014,14211,0.715592
396,396011,14451,0.727677
397,397015,14579,0.734122
398,398011,14547,0.732511
399,399015,14355,0.722843
400,400011,14083,0.709146
401,401009,13843,0.697061
402,402013,13731,0.691421
403,403010,13763,0.693033
404,404013,13955,0.702701
405,405010,14195,0.714786
406,406014,14451,0.727677
407,407010,14563,0.733317
408,408014,14547,0.732511
409,409012,14355,0.722843
410,410010,14083,0.709146
411,411014,13843,0.697061
412,412011,13715,0.690616
413,413015,13763,0.693033
414,414011,13939,0.701895
415,415015,14211,0.715592
416,416012,14435,0.726871
417,417015,14563,0.733317
418,418014,14499,0.730094
419,419011,14339,0.722037
420,420015,14083,0.709146
421,421011,13843,0.697061
422,422015,13715,0.690616
423,423012,13763,0.693033
424,424008,13939,0.701895
425,425015,14195,0.714786
426,426014,14451,0.727677
427,427010,14579,0.734122
428,428014,14531,0.731705
429,429011,14339,0.722037
430,430014,14083,0.709146
431,431011,13843,0.697061
432,432015,13715,0.690616
433,433012,13747,0.692227
434,434009,13939,0.701895
435,435013,14211,0.715592
436,436009,14435,0.726871
437,437013,14579,0.734122
438,438009,14531,0.731705
439,439013,14371,0.723648
440,440010,14083,0.709146
441,441008,13859,0.697867
442,442013,13715,0.690616
443,443010,13763,0.693033
444,444013,13955,0.702701
445,445010,14195,0.714786
446,446014,14451,0.727677
447,447010,14579,0.734122
448,448014,14547,0.732511
449,449014,14371,0.723648
450,450011,14099,0.709952
451,451014,13843,0.697061
452,452011,13731,0.691421
453,453015,13747,0.692227
454,454011,13939,0.701895
455,455015,14211,0.715592
456,456012,14467,0.728482
457,457010,14563,0.733317
458,458009,14531,0.731705
459,459012,14355,0.722843
460,460009,14083,0.709146
461,461013,13843,0.697061
462,462009,13715,0.690616
463,463013,13763,0.693033
464,464010,13939,0.701895
465,465009,14195,0.714786
466,466008,14451,0.727677
467,467013,14579,0.734122
468,468009,14531,0.731705
469,469013,14355,0.722843
470,470009,14099,0.709952
471,471013,13843,0.697061
472,472010,13715,0.690616
473,473010,13763,0.693033
474,474008,13939,0.701895
475,475012,14211,0.715592
476,476008,14435,0.726871
477,477012,14579,0.734122
478,478009,14547,0.732511
479,479013,14355,0.722843
480,480009,14083,0.709146
481,481043,13747,0.692227
482,482011,13731,0.691421
483,483008,13747,0.692227
484,484012,13955,0.702701
485,485009,14211,0.715592
486,486013,14467,0.728482
487,487009,14595,0.734928
488,488013,14547,0.732511
489,489012,14355,0.722843
490,490009,14099,0.709952
491,491012,13859,0.697867
492,492009,13715,0.690616
493,493013,13779,0.693838
494,494009,13955,0.702701
495,495013,14211,0.715592
496,496010,14451,0.727677
497,497012,14579,0.734122
498,498010,14531,0.731705
499,499014,14355,0.722843
500,500011,14083,0.709146
501,501014,13843,0.697061
502,502011,13731,0.691421
503,503015,13763,0.693033
504,504011,13939,0.701895
505,505011,14195,0.714786
506,506009,14435,0.726871
507,507013,14579,0.734122
508,508009,14547,0.732511
509,509013,14355,0.722843
510,510009,14083,0.709146
511,511013,13859,0.697867
512,512010,13715,0.690616
513,513011,13747,0.692227
514,514010,13923,0.701090
515,515014,14211,0.715592
516,516010,14435,0.726871
517,517014,14579,0.734122
518,518011,14531,0.731705
519,519015,14355,0.722843
520,520011,14067,0.708341
521,521012,13827,0.696255
522,522009,13715,0.690616
523,523013,13747,0.692227
524,524010,13923,0.701090
525,525014,14211,0.715592
526,526010,14435,0.726871
527,527014,14579,0.734122
528,528011,14547,0.732511
529,529012,14355,0.722843
530,530009,14083,0.709146
531,531012,13859,0.697867
532,532009,13715,0.690616
533,533013,13763,0.693033
534,534009,13939,0.701895
535,535013,14211,0.715592
536,536010,14467,0.728482
537,537011,14563,0.733317
538,538008,14547,0.732511
539,539012,14355,0.722843
540,540008,14083,0.709146
541,541012,13843,0.697061
542,542009,13715,0.690616
543,543013,13763,0.693033
544,544009,13923,0.701090
545,545039,14211,0.715592
546,546010,14435,0.726871
547,547015,14579,0.734122
548,548012,14531,0.731705
549,549008,14355,0.722843
550,550012,14099,0.709952
551,551008,13859,0.697867
552,552012,13715,0.690616
553,553015,13747,0.692227
554,554013,13955,0.702701
555,555009,14211,0.715592
556,556013,14435,0.726871
557,557010,14563,0.733317
558,558014,14547,0.732511
559,559010,14355,0.722843
560,560014,14099,0.709952
561,561010,13843,0.697061
562,562009,13715,0.690616
563,563013,13747,0.692227
564,564009,13939,0.701895
565,565013,14211,0.715592
566,566009,14451,0.727677
567,567013,14579,0.734122
568,568010,14547,0.732511
569,569013,14371,0.723648
570,570011,14083,0.709146
571,571015,13843,0.697061
572,572011,13715,0.690616
573,573015,13747,0.692227
574,574012,13939,0.701895
575,575008,14195,0.714786
576,576012,14467,0.728482
577,577015,14563,0.733317
578,578012,14547,0.732511
579,579008,14371,0.723648
580,580012,14083,0.709146
581,581008,13843,0.697061
582,582012,13715,0.690616
583,583009,13747,0.692227
584,584013,13939,0.701895
585,585009,14195,0.714786
586,586015,14435,0.726871
587,587012,14563,0.733317
588,588008,14531,0.731705
589,589012,14339,0.722037
590,590009,14083,0.709146
591,591012,13843,0.697061
592,592009,13715,0.690616
593,593009,13731,0.691421
594,594014,13939,0.701895
595,595011,14227,0.716397
596,596015,14467,0.728482
597,597011,14579,0.734122
598,598015,14547,0.732511
599,599012,14355,0.722843
600,600008,14083,0.709146
601,601012,13843,0.697061
602,602009,13731,0.691421
603,603013,13763,0.693033
604,604009,13939,0.701895
605,605013,14211,0.715592
606,606010,14435,0.726871
607,607013,14563,0.733317
608,608010,14547,0.732511
609,609014,14355,0.722843
610,610012,14083,0.709146
611,611008,13843,0.697061
612,612012,13715,0.690616
613,613009,13747,0.692227
614,614012,13923,0.701090
615,615009,14195,0.714786
616,616013,14467,0.728482
617,617011,14579,0.734122
618,618009,14531,0.731705
619,619013,14355,0.722843
620,620010,14083,0.709146
621,621014,13843,0.697061
622,622010,13715,0.690616
623,623014,13731,0.691421
624,624010,13923,0.701090
625,625015,14195,0.714786
626,626013,14435,0.726871
627,627010,14563,0.733317
628,628014,14531,0.731705
629,629010,14355,0.722843
630,630014,14067,0.708341
631,631011,13843,0.697061
632,632014,13715,0.690616
633,633012,13747,0.692227
634,634009,13923,0.701090
635,635013,14211,0.715592
636,636010,14435,0.726871
637,637014,14579,0.734122
638,638010,14531,0.731705
639,639014,14355,0.722843
640,640011,14083,0.709146
641,641009,13843,0.697061
642,642013,13715,0.690616
643,643010,13747,0.692227
644,644014,13939,0.701895
645,645010,14195,0.714786
646,646014,14451,0.727677
647,647010,14563,0.733317
648,648014,14531,0.731705
649,649013,14355,0.722843
650,650010,14083,0.709146
651,651014,13843,0.697061
652,652010,13715,0.690616
653,653014,13747,0.692227
654,654010,13955,0.702701
655,655014,14211,0.715592
656,656011,14435,0.726871
657,657010,14563,0.733317
658,658009,14547,0.732511
659,659013,14339,0.722037
660,660009,14083,0.709146
661,661013,13859,0.697867
662,662010,13715,0.690616
